Monthly data for lake:, ont
Subbasin:, Overlake
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    61.080,    63.960,    60.720,    70.810,   101.730,    82.080,    71.690,    38.830,    69.070,    41.220,   106.040,    90.590
1941,    59.590,    50.990,    45.560,    23.560,    35.850,    38.980,    93.260,    84.840,    38.570,   103.190,    69.610,    74.030
1942,    63.940,    75.730,    93.310,    52.300,   119.500,    50.500,    82.200,    38.650,    93.180,    73.570,    80.020,   120.160
1943,    58.940,    60.330,    76.710,    85.090,   141.380,    68.050,    75.170,    91.160,    52.600,   110.760,    56.990,    22.570
1944,    29.450,    61.310,    69.770,    93.010,    65.270,    92.540,    69.540,    52.130,    71.670,    31.920,    58.810,    98.500
1945,    56.060,    62.320,    81.520,    91.380,   122.750,    74.630,   124.450,    49.670,   147.260,   103.830,    94.580,    52.840
1946,    54.570,    64.240,    28.410,    30.270,    87.430,    58.640,    55.350,    59.890,    79.380,   104.120,    70.540,    84.690
1947,   113.560,    41.860,    84.860,    76.840,   116.740,   118.360,   147.450,    46.860,    69.580,    19.770,    67.880,    63.770
1948,    59.860,    66.410,    90.700,    68.680,    80.040,    69.410,    52.550,    38.580,    37.620,    78.680,    90.540,    59.970
1949,    76.650,    68.730,    50.700,    73.720,    37.120,    22.400,    53.870,    57.070,    86.060,    37.330,    81.470,    88.030
1950,   106.560,    88.030,    73.970,    56.400,    50.710,    65.780,    72.380,    99.390,    44.300,    89.250,   116.050,    60.490
1951,    68.370,    73.160,   104.770,   110.780,    43.180,    91.660,   120.670,    65.420,    70.300,    49.310,    86.710,    99.570
1952,    66.200,    58.570,    70.670,    66.190,   107.780,    25.280,    65.180,    71.210,    73.720,    47.770,    72.570,    70.070
1953,    62.780,    34.380,    91.270,    58.290,   125.580,    46.120,    54.160,    71.560,    92.130,    25.990,    54.230,    64.090
1954,    59.980,    78.900,    89.780,   101.930,    43.610,    71.520,    24.830,    98.990,    82.760,   107.910,    89.780,    98.070
1955,    42.150,    50.780,   100.480,    67.750,    65.230,    26.940,    49.450,   124.200,    57.170,   225.320,    42.780,    48.100
1956,    43.870,    58.630,    80.370,    98.370,   112.310,    35.850,    69.980,   115.030,    73.000,    30.400,    54.970,    59.160
1957,    71.950,    47.380,    35.990,    74.310,    78.830,    95.930,    60.120,    29.420,    93.040,    40.390,    59.810,    84.730
1958,    63.080,    77.860,    21.250,    62.280,    47.770,    75.100,    81.120,    90.400,   103.580,    66.970,    73.250,    50.370
